542.666666666664,337.696969696976,479.537598204264,193.76543209876,168.619047619048,134.562770562776
679.189542483664,434.969187675072,315.341269841264,261.611111111112,190.933333333336,153.572413793104
595.888888888888,576.333333333336,509.90476190476,303.463203463208,233.632034632032,278.866666666664
538.407407407408,404.198653198656,269.73628173628,263.597051597056,347.993939393936,214.193650793648
543.75555555556,524.206349206344,247.904761904768,301.902439024384,235.26422764228,264.253623188408
596.78571428572,470.833333333328,271.941176470592,248.757236227824,287.88492063492,183.988095238096
492.126984126984,335.409523809528,306.339047619048,235.531851851848,238.814814814816,194.293333333336
389.91851851852,367.838095238096,441.36796536796,266.327272727272,245.855782312928,238.897158863544
475.262939958592,429.65480895916,330.457912457912,407.291005291008,267.36996336996,151.184149184152
591.777777777776,518,544.5,294.752032520328,280.281300813008,263.41403508772
525.111111111112,459.066666666672,461.955555555552,314.044444444448,184.016666666664,193.316666666664
508.266666666664,508.78787878788,408.83712121212,385.327380952384,217.910364145656,317.69281045752
634,555.333333333336,403.843137254904,418.37908496732,363.01915708812,220.778822709855
562.030651341,473.434343434344,295.983281086728,337.573828470376,228.926007326008,165.718903318904
589.690476190472,643.619047619048,336.091710758376,317.196804647784,219.282913165272,180.458553791888
670,448.196078431368,310.959477124184,220.041025641024,108.574563082032,237.865219357752
557,460.627450980392,393.731523378584,354.212454212456,338.261904761904,246.425925925928
748.933333333328,446.876190476192,296.783068783072,347.740740740736,334.733333333336,215.189743589744
538.98412698412,535.047619047624,340.84656084656,313.03703703704,232.814814814808,217.911111111112
606.747474747472,386.222222222224,371.00952380952,336.078195488728,256.18500797448,179.393939393936
621.820105820104,450.63703703704,407.585185185184,207.872286079184,183.481535827832,120.166875260736
436.47407407408,402.488888888888,331.333333333328,335.407407407408,257.125925925928,280.323809523808
490.547008547008,417.1746031746,313.557422969192,371.394957983192,295.1966873706,221.469979296064
521.133333333328,493,285.377777777784,223.511111111104,318.311111111112,155.08571428572
512.666666666672,399.90476190476,357.650793650792,214.833333333336,184.530942334736,150.080168776376
568.222222222216,326.158730158736,319.369047619048,190.98015873016,230.646185355856,264.078201368528
747.142857142856,321.066666666664,318.82807017544,244.713958810064,284.391304347832,132.63636363636
441.970370370376,287.629629629624,253.377777777784,156.04444444444,123.658858858856,175.630030030032
533.375816993464,322.579365079368,251.431746031744,154.070899470904,134.084656084656,165.869281045744
531.111111111112,420.35555555556,264.315151515152,252.914956011728,241.467328370552,115.846153846152
539.76068376068,532.461538461536,299.916666666672,259.014150943392,256.81630882672,171.986206896552
730.511111111112,512.488888888888,324.666666666672,338.4,314.228930817608,142.871069182392
668.851851851848,560.444444444448,310.030303030304,226.781662781664,336.854700854696,160.388185654008
539.529411764704,618.333333333336,470.444444444448,261.888888888888,132.64367816092,149.667432950192
500.303030303032,466.710303030304,308.204057971016,217.627053140096,220.155555555552,204.16049382716
444.7393939394,410.593939393936,262.383333333336,191.070754716976,124.100628930824,152.874912648496
684.69444444444,512.702380952384,373.027417027416,342.464646464648,305.800281293952,192.244163150488
624.0606060606,551.272727272728,426.982456140352,316.248313090424,256.10256410256,215.151515151512
