year,diagn_immigr,diagn_suppr,prop_suppr
2014,58,41,0.706896551724138
2015,67,47,0.701492537313433
2016,86,67,0.779069767441861
2017,144,113,0.784722222222222
2018,179,153,0.854748603351955
2019,199,173,0.869346733668342
2020,166,151,0.909638554216867
2021,182,159,0.873626373626374
2022,197,174,0.883248730964467
